Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-06a75a2a47b3a0fbb,2021-08-28T00:17:42.358Z,completed,vol-099f85b606d4d9f22,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Name,sonarqube,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,MaintainedBY,DevOps,Snapshot,true,standard,SnapshotCreator,DLM,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-001513ed2e4c5756e,2021-08-27T00:17:10.373Z,completed,vol-099f85b606d4d9f22,30,CreatedBy,terraform,dlm:managed,true,Snapshot,true,SnapshotCreator,DLM,MaintainedBY,DevOps,Name,sonarqube,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,
Created by CreateImage(i-0765a1a912aa7fea5) for ami-00af7ee00d665f4d7,false,874747637540,100%,snap-08c579600f4cb164f,2021-08-02T04:38:10.704Z,completed,vol-0f63eceafd0eccddb,50,Application,jenkins-agent,Name,jenkins-agent-amzn2,Source,ami-084e3fc6ccfae9aae,,,,,,,,,standard,,,,,
Created by CreateImage(i-0ae176ad92fb090e0) for ami-0d1d802fd503ee94e,false,874747637540,100%,snap-0c0882058326a0c2a,2021-08-01T04:38:06.242Z,completed,vol-0512e71dc9f4372ab,50,Name,jenkins-agent-amzn2,Source,ami-084e3fc6ccfae9aae,Application,jenkins-agent,,,,,,,,,standard,,,,,
Created by CreateImage(i-0bbf643553f46d186) for ami-091f3bc4062f05233,false,874747637540,100%,snap-0483f29cc437a10c5,2021-07-30T04:38:34.735Z,completed,vol-0212a0c0ef373c9a8,50,Source,ami-084e3fc6ccfae9aae,Application,jenkins-agent,Name,jenkins-agent-amzn2,,,,,,,,,standard,,,,,
Created by CreateImage(i-08ae78a9163584400) for ami-023d05c14d878141e,false,874747637540,100%,snap-09315d5bb4d7b85ed,2021-07-29T04:40:20.672Z,completed,vol-0275a168a4338f7e9,50,Application,jenkins-agent,Name,jenkins-agent-amzn2,Source,ami-084e3fc6ccfae9aae,,,,,,,,,standard,,,,,
Created by CreateImage(i-04f30dc1ccccd7aab) for ami-0b254c2dadb257cec,false,874747637540,100%,snap-046fd7ac42a3e7315,2021-07-27T04:37:46.751Z,completed,vol-05b007baf5d4196af,50,Name,jenkins-agent-amzn2,Application,jenkins-agent,Source,ami-084e3fc6ccfae9aae,,,,,,,,,standard,,,,,
Created by CreateImage(i-0b9172074ed895f68) for ami-0cb7c213efbe800ba,false,874747637540,100%,snap-07ff18e69fdbf131d,2021-07-15T13:13:13.668Z,completed,vol-064a053380b926302,50,Source,ami-084e3fc6ccfae9aae,Application,jenkins-agent,Name,jenkins-agent-amzn2,,,,,,,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-067797c35e2cbc776,2021-07-12T00:10:12.924Z,completed,vol-062fd9b586adbc6c3,30,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,dlm:managed,true,Snapshot,true,Name,sonarqube,standard,SnapshotCreator,DLM,MaintainedBY,DevOps,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-081e4e96082fd5101,2021-07-11T00:20:35.682Z,completed,vol-062fd9b586adbc6c3,30,MaintainedBY,DevOps,Name,sonarqube,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,SnapshotCreator,DLM,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-00ee35f94faee3e9b,2021-07-10T00:17:36.611Z,completed,vol-062fd9b586adbc6c3,30,dlm:managed,true,CreatedBy,terraform,Name,sonarqube,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-07a46ca5e3f240649,2021-07-09T00:14:05.869Z,completed,vol-062fd9b586adbc6c3,30,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,CreatedBy,terraform,SnapshotCreator,DLM,Snapshot,true,MaintainedBY,DevOps,Name,sonarqube,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0b664ba16380ca7e5,2021-07-08T00:20:28.690Z,completed,vol-062fd9b586adbc6c3,30,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,dlm:managed,true,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,Name,sonarqube,standard,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0251a12d4ccd2260a,2021-07-07T00:12:14.999Z,completed,vol-062fd9b586adbc6c3,30,Name,sonarqube,Snapshot,true,SnapshotCreator,DLM,MaintainedBY,DevOps,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,dlm:managed,true,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-09ef4d30a9ee6206c,2021-07-06T00:10:59.854Z,completed,vol-062fd9b586adbc6c3,30,Snapshot,true,SnapshotCreator,DLM,Name,sonarqube,MaintainedBY,DevOps,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-088e5c8068587a434,2021-07-05T00:20:36.559Z,completed,vol-062fd9b586adbc6c3,30,Name,sonarqube,MaintainedBY,DevOps,SnapshotCreator,DLM,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-03c7cd34cf26b01cd,2021-07-04T00:12:12.137Z,completed,vol-062fd9b586adbc6c3,30,SnapshotCreator,DLM,Name,sonarqube,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,standard,MaintainedBY,DevOps,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-05a03c054c05261d1,2021-07-03T00:15:44.801Z,completed,vol-062fd9b586adbc6c3,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,CreatedBy,terraform,MaintainedBY,DevOps,Name,sonarqube,standard,SnapshotCreator,DLM,Snapshot,true,
