Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/StorageTier,Snapshots/OwnerAlias,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-03fafa695682a9ded,2022-01-23T00:19:43.693Z,completed,vol-0d7896fdc2a37efa1,30,standard,,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,Name,jenkins-master-test,Snapshot,true,dlm:managed,true,CreatedBy,terraform,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1
created by script,false,086685601027,100%,snap-0bd241122e1853562,2022-01-14T13:35:20.120Z,completed,vol-0ecc0bab737f0f049,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0f0d33f26c63cdf4d,2022-01-13T05:39:59.441Z,completed,vol-07bb9369f8d9fc394,300,standard,,Name,jenkins-master-test,,,,,,,,,,,,,,,,
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-009269feb4b676479,2022-01-05T00:20:03.808Z,completed,vol-0427141cbd343368f,30,standard,,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,SnapshotCreator,DLM,Snapshot,true,MaintainedBY,DevOps,CreatedBy,terraform,Name,jenkins-master-test
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-008d8e2c6e7f7616e,2022-01-02T00:20:39.383Z,completed,vol-0427141cbd343368f,30,standard,,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,jenkins-master-test,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,spotinst:aws:ec2:group:createdBy,spotinst,SnapshotCreator,DLM,dlm:managed,true
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-02a0a3cd1931cca27,2022-01-01T00:19:29.557Z,completed,vol-0427141cbd343368f,30,standard,,Snapshot,true,SnapshotCreator,DLM,Name,jenkins-master-test,dlm:managed,true,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0af4e68b1b50341a5,2021-12-30T00:18:40.803Z,completed,vol-0427141cbd343368f,30,standard,,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,Snapshot,true,MaintainedBY,DevOps,SnapshotCreator,DLM,CreatedBy,terraform,Name,jenkins-master-test
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-05f97574f6dafbed8,2021-12-29T00:19:29.474Z,completed,vol-0427141cbd343368f,30,standard,,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,dlm:managed,true,CreatedBy,terraform,Name,jenkins-master-test
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-03203a96db69f5137,2021-12-28T00:23:31.460Z,completed,vol-0427141cbd343368f,30,standard,,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,jenkins-master-test,spotinst:aws:ec2:group:createdBy,spotinst,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,dlm:managed,true
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0c3029ec469548ed7,2021-12-26T00:11:56.379Z,completed,vol-0427141cbd343368f,30,standard,,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Name,jenkins-master-test,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1
created by script,false,086685601027,100%,snap-01f7b4ed52807f14b,2021-12-23T12:18:06.016Z,completed,vol-0fc0a20f6e18d363f,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
